year,hue,saturation,lightness,steps,code,
0,240,255,255,0,-16776961,blue
1,222,255,255,0.1,-16757505,
2,204,255,255,0.2,-16737793,
3,186,255,255,0.3,-16718081,
4,168,255,255,0.4,-16711732,
5,150,255,255,0.5,-16711808,green
6,132,255,255,0.6,-16711885,
7,114,255,255,0.7,-15008000,
8,96,255,255,0.8,-10027264,
9,78,255,255,0.9,-4980992,
10,60,255,255,1,-256,yellow
11,54,255,255,0.1,-6656,
12,48,255,255,0.2,-13312,
13,42,255,255,0.3,-19712,
14,36,255,255,0.4,-26368,
15,30,255,255,0.5,-32768,orange
16,24,255,255,0.6,-39424,
17,18,255,255,0.7,-45824,
18,12,255,255,0.8,-52480,
19,6,255,255,0.9,-58880,
20,0,255,255,1,-65536,red